"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 29 18:31:07 CEST 2019","Mon Apr 29 18:31:11 CEST 2019","4074","","User interactions","","User interactions","should be able to multi-select in dropdown (fails by design to gen video)","should be able to multi-select in dropdown (fails by design to gen video)",""
"passed","Mon Apr 29 18:30:55 CEST 2019","Mon Apr 29 18:30:59 CEST 2019","4233","","User interactions","","User interactions","should be able to edit input (should pass)","should be able to edit input (should pass)",""
"failed","Mon Apr 29 18:31:03 CEST 2019","Mon Apr 29 18:31:07 CEST 2019","3444","","User interactions","","User interactions","should be able to move slider (fails by design to gen video)","should be able to move slider (fails by design to gen video)",""
"passed","Mon Apr 29 18:30:58 CEST 2019","Mon Apr 29 18:31:11 CEST 2019","13253","","User interactions","","User interactions","should be able to edit input (should pass)","should be able to edit input (should pass)",""
"failed","Mon Apr 29 18:31:00 CEST 2019","Mon Apr 29 18:31:03 CEST 2019","2571","","User interactions","","User interactions","should be able to move slider (fails by design to gen video)","should be able to move slider (fails by design to gen video)",""
"passed","Mon Apr 29 18:31:00 CEST 2019","Mon Apr 29 18:31:04 CEST 2019","3925","","User interactions","","User interactions","should be able to edit input (should pass)","should be able to edit input (should pass)",""
"passed","Mon Apr 29 18:30:55 CEST 2019","Mon Apr 29 18:31:00 CEST 2019","5040","","User interactions","","User interactions","should be able to edit input (should pass)","should be able to edit input (should pass)",""
"failed","Mon Apr 29 18:31:07 CEST 2019","Mon Apr 29 18:31:11 CEST 2019","4030","","User interactions","","User interactions","should be able to multi-select in dropdown (fails by design to gen video)","should be able to multi-select in dropdown (fails by design to gen video)",""
"failed","Mon Apr 29 18:31:04 CEST 2019","Mon Apr 29 18:31:09 CEST 2019","4764","","User interactions","","User interactions","should be able to multi-select in dropdown (fails by design to gen video)","should be able to multi-select in dropdown (fails by design to gen video)",""
"failed","Mon Apr 29 18:31:20 CEST 2019","Mon Apr 29 18:31:29 CEST 2019","8938","","User interactions","","User interactions","should be able to move slider (fails by design to gen video)","should be able to move slider (fails by design to gen video)",""
"failed","Mon Apr 29 18:31:03 CEST 2019","Mon Apr 29 18:31:05 CEST 2019","2117","","User interactions","","User interactions","should be able to multi-select in dropdown (fails by design to gen video)","should be able to multi-select in dropdown (fails by design to gen video)",""
"failed","Mon Apr 29 18:31:04 CEST 2019","Mon Apr 29 18:31:07 CEST 2019","2982","","User interactions","","User interactions","should be able to move slider (fails by design to gen video)","should be able to move slider (fails by design to gen video)",""
"passed","Mon Apr 29 18:30:54 CEST 2019","Mon Apr 29 18:31:02 CEST 2019","8330","","User interactions","","User interactions","should be able to edit input (should pass)","should be able to edit input (should pass)",""
"failed","Mon Apr 29 18:31:29 CEST 2019","Mon Apr 29 18:31:42 CEST 2019","13643","","User interactions","","User interactions","should be able to multi-select in dropdown (fails by design to gen video)","should be able to multi-select in dropdown (fails by design to gen video)",""
"failed","Mon Apr 29 18:31:08 CEST 2019","Mon Apr 29 18:31:16 CEST 2019","8613","","User interactions","","User interactions","should be able to multi-select in dropdown (fails by design to gen video)","should be able to multi-select in dropdown (fails by design to gen video)",""
"failed","Mon Apr 29 18:31:01 CEST 2019","Mon Apr 29 18:31:03 CEST 2019","2494","","User interactions","","User interactions","should be able to multi-select in dropdown (fails by design to gen video)","should be able to multi-select in dropdown (fails by design to gen video)",""
"failed","Mon Apr 29 18:31:11 CEST 2019","Mon Apr 29 18:31:17 CEST 2019","6002","","User interactions","","User interactions","should be able to move slider (fails by design to gen video)","should be able to move slider (fails by design to gen video)",""
"failed","Mon Apr 29 18:31:04 CEST 2019","Mon Apr 29 18:31:07 CEST 2019","2762","","User interactions","","User interactions","should be able to move slider (fails by design to gen video)","should be able to move slider (fails by design to gen video)",""
"passed","Mon Apr 29 18:30:56 CEST 2019","Mon Apr 29 18:31:03 CEST 2019","6614","","User interactions","","User interactions","should be able to edit input (should pass)","should be able to edit input (should pass)",""
"passed","Mon Apr 29 18:30:54 CEST 2019","Mon Apr 29 18:31:01 CEST 2019","6484","","User interactions","","User interactions","should be able to edit input (should pass)","should be able to edit input (should pass)",""
"failed","Mon Apr 29 18:31:02 CEST 2019","Mon Apr 29 18:31:08 CEST 2019","5157","","User interactions","","User interactions","should be able to move slider (fails by design to gen video)","should be able to move slider (fails by design to gen video)",""
"passed","Mon Apr 29 18:30:59 CEST 2019","Mon Apr 29 18:31:04 CEST 2019","4227","","User interactions","","User interactions","should be able to edit input (should pass)","should be able to edit input (should pass)",""
"failed","Mon Apr 29 18:31:01 CEST 2019","Mon Apr 29 18:31:04 CEST 2019","3123","","User interactions","","User interactions","should be able to move slider (fails by design to gen video)","should be able to move slider (fails by design to gen video)",""
"failed","Mon Apr 29 18:31:17 CEST 2019","Mon Apr 29 18:31:26 CEST 2019","9100","","User interactions","","User interactions","should be able to multi-select in dropdown (fails by design to gen video)","should be able to multi-select in dropdown (fails by design to gen video)",""
"failed","Mon Apr 29 18:30:59 CEST 2019","Mon Apr 29 18:31:01 CEST 2019","1721","","User interactions","","User interactions","should be able to move slider (fails by design to gen video)","should be able to move slider (fails by design to gen video)",""
"failed","Mon Apr 29 18:31:07 CEST 2019","Mon Apr 29 18:31:10 CEST 2019","3808","","User interactions","","User interactions","should be able to multi-select in dropdown (fails by design to gen video)","should be able to multi-select in dropdown (fails by design to gen video)",""
"passed","Mon Apr 29 18:31:03 CEST 2019","Mon Apr 29 18:31:20 CEST 2019","16620","","User interactions","","User interactions","should be able to edit input (should pass)","should be able to edit input (should pass)",""
